item_code_i,item_code_j,score
330,32374,0.8055301308631897
330,32373,0.8053645491600037
330,36885,0.765366792678833
330,6457,0.7563930749893188
330,27942,0.752975583076477
330,44611,0.7528602480888367
330,15282,0.7502871751785278
330,32469,0.7197030782699585
330,23094,0.7148607969284058
331,35322,0.8356420993804932
331,13086,0.7694081664085388
331,37164,0.7683529853820801
331,22098,0.7590894103050232
331,20919,0.7503923177719116
331,11610,0.7499733567237854
331,12425,0.7459005117416382
331,3650,0.7216285467147827
331,11072,0.7138440608978271
333,317,0.8929784893989563
333,392,0.7512673735618591
339,56,0.8961582183837891
339,1132,0.8417868614196777
339,120,0.7510940432548523
339,218,0.7370560169219971
342,674,0.7605338096618652
342,415,0.7383422255516052
342,273,0.7000271081924438
343,674,0.8647886514663696
343,531,0.8411758542060852
343,656,0.7300731539726257
343,1827,0.7241750955581665
348,1513,0.871339738368988
348,1626,0.868991494178772
348,2364,0.7316300272941589
348,1291,0.7134616374969482
349,484,0.7885368466377258
349,819,0.7284215688705444
349,823,0.715055525302887
349,723,0.7029775977134705
350,735,0.8566250205039978
350,622,0.7866709232330322
350,2875,0.719240128993988
350,351,0.717083752155304
350,1229,0.7135645151138306
350,34755,0.7056326866149902
351,21166,0.9634661078453064
351,2944,0.9473332762718201
351,921,0.8484171628952026
351,19658,0.818067193031311
351,16982,0.8066931366920471
351,15889,0.8015780448913574
351,622,0.8010345101356506
351,918,0.7891397476196289
351,34755,0.7756190299987793
368,1705,0.764767587184906
368,11742,0.7612202167510986
368,754,0.7296850085258484
370,2360,0.844822883605957
370,11887,0.8330217599868774
370,622,0.815027117729187
370,28725,0.7932276129722595
370,1460,0.7754945158958435
370,14661,0.7720426917076111
370,1070,0.7706809043884277
370,920,0.7457090616226196
370,20194,0.7309600114822388
378,10077,0.8250834941864014
380,5,0.8737297654151917
380,107,0.7931640148162842
380,426,0.7525445818901062
380,207,0.7467432022094727
380,954,0.7260295152664185
380,30,0.7111258506774902
381,10447,0.8232454061508179
381,426,0.7748872637748718
381,179,0.7676325440406799
381,208,0.7657080888748169
381,6,0.7657080888748169
381,976,0.7614742517471313
381,256,0.7607275247573853
381,926,0.7473776936531067
381,427,0.7431424260139465
385,33067,0.7193424701690674
